Timestamp,Asset_ID,Batch_ID,Cumulative_Cycles,Avg_Operating_Temp_C,Cell_Voltage_Imbalance_mV,Estimated_SoH,Daily_Distance_km
2025-06-01,TRUCK_001,BATCH_115,0,30.9,2.96,99.79,236.0
2025-06-02,TRUCK_001,BATCH_115,2,31.2,1.08,99.77,209.9
2025-06-03,TRUCK_001,BATCH_115,4,30.4,2.66,99.64,208.3
2025-06-04,TRUCK_001,BATCH_115,6,31.3,2.68,99.62,204.6
2025-06-05,TRUCK_001,BATCH_115,8,32.2,1.28,100.01,201.6
2025-06-06,TRUCK_001,BATCH_115,10,31.3,1.87,99.9,231.4
2025-06-07,TRUCK_001,BATCH_115,12,31.0,1.16,99.98,216.0
2025-06-08,TRUCK_001,BATCH_115,14,31.2,2.83,99.67,216.7
2025-06-09,TRUCK_001,BATCH_115,16,31.2,1.37,99.89,240.7
2025-06-10,TRUCK_001,BATCH_115,18,31.5,2.31,99.3,216.3
2025-06-11,TRUCK_001,BATCH_115,20,30.8,1.24,99.81,211.8
2025-06-12,TRUCK_001,BATCH_115,22,31.7,1.69,99.69,217.7
2025-06-13,TRUCK_001,BATCH_115,24,31.2,2.9,99.66,238.3
2025-06-14,TRUCK_001,BATCH_115,26,31.4,2.08,99.61,228.4
2025-06-15,TRUCK_001,BATCH_115,28,31.6,2.89,99.65,237.4
2025-06-16,TRUCK_001,BATCH_115,30,31.9,2.35,99.63,223.0
2025-06-17,TRUCK_001,BATCH_115,32,31.5,2.64,99.76,225.6
2025-06-18,TRUCK_001,BATCH_115,34,31.6,1.41,99.61,208.4
2025-06-19,TRUCK_001,BATCH_115,36,31.1,1.08,100.11,225.2
2025-06-20,TRUCK_001,BATCH_115,38,32.0,1.77,100.04,228.3
2025-06-21,TRUCK_001,BATCH_115,40,30.7,1.99,99.93,228.9
2025-06-22,TRUCK_001,BATCH_115,42,31.6,1.08,99.89,215.5
2025-06-23,TRUCK_001,BATCH_115,44,31.4,1.85,99.67,222.8
2025-06-24,TRUCK_001,BATCH_115,46,32.2,1.26,99.72,207.3
2025-06-25,TRUCK_001,BATCH_115,48,31.9,2.12,99.69,206.7
2025-06-26,TRUCK_001,BATCH_115,50,31.9,1.48,99.63,213.5
2025-06-27,TRUCK_001,BATCH_115,52,31.2,1.78,99.12,209.6
2025-06-28,TRUCK_001,BATCH_115,54,31.6,2.35,99.74,218.6
2025-06-29,TRUCK_001,BATCH_115,56,30.9,1.18,99.83,224.5
2025-06-30,TRUCK_001,BATCH_115,58,30.6,2.89,99.6,233.2
2025-07-01,TRUCK_001,BATCH_115,60,32.3,2.94,99.57,228.6
2025-07-02,TRUCK_001,BATCH_115,62,31.4,2.68,99.66,215.9
2025-07-03,TRUCK_001,BATCH_115,64,31.1,2.78,99.94,202.2
2025-07-04,TRUCK_001,BATCH_115,66,30.6,2.16,99.71,237.2
2025-07-05,TRUCK_001,BATCH_115,68,31.2,2.82,99.57,223.9
2025-07-06,TRUCK_001,BATCH_115,70,32.0,1.96,99.93,213.5
2025-07-07,TRUCK_001,BATCH_115,72,30.9,1.66,99.6,216.3
2025-07-08,TRUCK_001,BATCH_115,74,31.1,2.14,100.02,231.2
2025-07-09,TRUCK_001,BATCH_115,76,31.7,2.49,99.58,228.3
2025-07-10,TRUCK_001,BATCH_115,78,31.1,1.96,100.02,199.1
2025-07-11,TRUCK_001,BATCH_115,80,30.1,2.6,99.44,242.8
2025-07-12,TRUCK_001,BATCH_115,82,30.4,1.09,99.7,240.2
2025-07-13,TRUCK_001,BATCH_115,84,31.3,2.39,99.63,198.8
2025-07-14,TRUCK_001,BATCH_115,86,31.1,1.59,99.88,243.6
2025-07-15,TRUCK_001,BATCH_115,88,30.9,2.47,99.37,239.7
2025-07-16,TRUCK_001,BATCH_115,90,30.9,1.67,99.8,203.4
2025-07-17,TRUCK_001,BATCH_115,92,30.8,1.46,99.46,208.0
2025-07-18,TRUCK_001,BATCH_115,94,30.7,1.91,99.89,196.7
2025-07-19,TRUCK_001,BATCH_115,96,31.0,2.21,100.02,208.3
2025-07-20,TRUCK_001,BATCH_115,98,31.3,2.16,99.57,239.9
2025-07-21,TRUCK_001,BATCH_115,100,30.7,1.82,99.7,233.0
2025-07-22,TRUCK_001,BATCH_115,102,31.5,1.75,99.74,231.6
2025-07-23,TRUCK_001,BATCH_115,104,31.9,2.14,99.77,198.2
2025-07-24,TRUCK_001,BATCH_115,106,31.5,2.5,99.28,239.6
2025-07-25,TRUCK_001,BATCH_115,108,32.2,2.51,99.54,213.5
2025-07-26,TRUCK_001,BATCH_115,110,31.0,1.5,99.89,208.5
2025-07-27,TRUCK_001,BATCH_115,112,31.5,2.51,99.71,197.4
2025-07-28,TRUCK_001,BATCH_115,114,29.6,2.66,99.7,210.1
2025-07-29,TRUCK_001,BATCH_115,116,31.1,1.84,99.22,233.3
2025-07-30,TRUCK_001,BATCH_115,118,31.9,2.81,99.52,225.2
2025-07-31,TRUCK_001,BATCH_115,120,31.4,2.27,99.63,222.1
2025-08-01,TRUCK_001,BATCH_115,122,31.5,2.09,99.78,217.1
2025-08-02,TRUCK_001,BATCH_115,124,31.2,2.05,99.59,229.1
2025-08-03,TRUCK_001,BATCH_115,126,31.3,2.68,99.35,232.6
2025-08-04,TRUCK_001,BATCH_115,128,30.6,1.42,99.52,223.3
2025-08-05,TRUCK_001,BATCH_115,130,31.6,1.92,100.12,223.6
2025-08-06,TRUCK_001,BATCH_115,132,32.2,1.36,99.92,229.0
2025-08-07,TRUCK_001,BATCH_115,134,31.9,2.03,99.74,242.5
2025-08-08,TRUCK_001,BATCH_115,136,30.7,2.64,99.53,211.9
2025-08-09,TRUCK_001,BATCH_115,138,31.2,2.1,99.7,221.1
2025-08-10,TRUCK_001,BATCH_115,140,31.8,1.26,99.82,211.2
2025-08-11,TRUCK_001,BATCH_115,142,31.0,1.96,99.75,228.6
2025-08-12,TRUCK_001,BATCH_115,144,30.7,1.75,99.71,195.2
2025-08-13,TRUCK_001,BATCH_115,146,31.4,2.07,99.67,240.1
2025-08-14,TRUCK_001,BATCH_115,148,31.7,2.06,99.83,230.2
2025-08-15,TRUCK_001,BATCH_115,150,31.6,2.69,99.77,231.6
2025-08-16,TRUCK_001,BATCH_115,152,30.8,1.21,100.1,231.0
2025-08-17,TRUCK_001,BATCH_115,154,31.5,2.68,99.87,199.4
2025-08-18,TRUCK_001,BATCH_115,156,30.6,1.69,99.67,218.2
2025-08-19,TRUCK_001,BATCH_115,158,32.0,1.96,99.94,223.6
2025-08-20,TRUCK_001,BATCH_115,160,31.6,2.17,99.33,222.6
2025-08-21,TRUCK_001,BATCH_115,162,30.6,2.8,99.83,224.7
2025-08-22,TRUCK_001,BATCH_115,164,31.4,1.66,100.04,240.6
2025-08-23,TRUCK_001,BATCH_115,166,31.3,2.7,100.06,199.4
2025-08-24,TRUCK_001,BATCH_115,168,31.8,1.01,99.74,242.6
2025-08-25,TRUCK_001,BATCH_115,170,32.3,2.64,99.62,230.1
2025-08-26,TRUCK_001,BATCH_115,172,30.5,2.68,99.08,205.1
2025-08-27,TRUCK_001,BATCH_115,174,31.7,2.06,99.83,229.6
2025-08-28,TRUCK_001,BATCH_115,176,31.3,2.01,99.64,240.5
2025-08-29,TRUCK_001,BATCH_115,178,31.8,1.74,100.03,217.2
2025-08-30,TRUCK_001,BATCH_115,180,32.4,1.4,99.33,228.5
2025-08-31,TRUCK_001,BATCH_115,182,32.6,2.59,99.72,200.3
2025-09-01,TRUCK_001,BATCH_115,184,31.6,1.82,99.55,240.6
2025-09-02,TRUCK_001,BATCH_115,186,31.7,2.44,99.66,197.4
2025-09-03,TRUCK_001,BATCH_115,188,31.6,2.5,99.51,234.1
2025-09-04,TRUCK_001,BATCH_115,190,31.1,1.47,99.62,226.0
2025-09-05,TRUCK_001,BATCH_115,192,31.2,2.18,99.52,228.4
2025-09-06,TRUCK_001,BATCH_115,194,32.2,2.8,99.65,225.5
2025-09-07,TRUCK_001,BATCH_115,196,30.2,2.15,99.35,212.4
2025-09-08,TRUCK_001,BATCH_115,198,31.7,1.13,100.21,206.2
2025-09-09,TRUCK_001,BATCH_115,200,30.2,1.67,99.41,230.7
2025-09-10,TRUCK_001,BATCH_115,202,30.9,2.76,99.48,219.2
2025-09-11,TRUCK_001,BATCH_115,204,31.6,3.0,99.24,231.8
2025-09-12,TRUCK_001,BATCH_115,206,31.8,1.29,99.58,205.1
2025-09-13,TRUCK_001,BATCH_115,208,31.3,2.51,99.23,200.1
2025-09-14,TRUCK_001,BATCH_115,210,30.2,1.91,99.53,224.5
2025-09-15,TRUCK_001,BATCH_115,212,32.9,1.97,99.61,215.0
2025-09-16,TRUCK_001,BATCH_115,214,32.0,2.43,99.2,224.3
2025-09-17,TRUCK_001,BATCH_115,216,30.8,1.85,99.8,209.1
2025-09-18,TRUCK_001,BATCH_115,218,31.7,1.28,99.67,200.0
2025-09-19,TRUCK_001,BATCH_115,220,31.8,2.19,99.81,200.1
2025-09-20,TRUCK_001,BATCH_115,222,31.1,1.14,99.47,198.8
2025-09-21,TRUCK_001,BATCH_115,224,31.0,1.37,99.8,235.9
2025-09-22,TRUCK_001,BATCH_115,226,30.7,1.45,99.92,224.7
2025-09-23,TRUCK_001,BATCH_115,228,32.1,1.41,99.83,233.5
2025-09-24,TRUCK_001,BATCH_115,230,30.9,1.83,99.61,237.2
2025-09-25,TRUCK_001,BATCH_115,232,31.3,1.96,99.48,239.9
2025-09-26,TRUCK_001,BATCH_115,234,31.1,2.83,99.54,207.2
2025-09-27,TRUCK_001,BATCH_115,236,30.8,1.07,99.68,210.3
2025-09-28,TRUCK_001,BATCH_115,238,31.0,1.44,99.51,205.5
2025-06-01,TRUCK_002,BATCH_125,0,34.0,2.72,100.05,228.1
2025-06-02,TRUCK_002,BATCH_125,2,32.6,1.62,100.02,221.2
2025-06-03,TRUCK_002,BATCH_125,4,33.6,1.7,99.89,224.8
2025-06-04,TRUCK_002,BATCH_125,6,32.2,2.67,99.43,230.8
