Batch_ID,Supplier_Name,Cathode_Material,Impurity_Level_PPM,Initial_Internal_Resistance_mOhm,Cathode_Density_g_cm3,Inspection_Status
BATCH_100,Apex Cells,LFP_Grade_A,8.08,1.406,3.45,PASSED
BATCH_101,Apex Cells,LFP_Grade_A,6.93,1.673,3.52,PASSED
BATCH_102,Apex Cells,LFP_Grade_A,11.67,1.469,3.48,PASSED
BATCH_103,Apex Cells,LFP_Grade_A,6.46,1.702,3.49,PASSED
BATCH_104,Apex Cells,LFP_Grade_A,6.66,1.627,3.41,PASSED
BATCH_105,Apex Cells,LFP_Grade_A,11.74,1.58,3.48,PASSED
BATCH_106,Apex Cells,LFP_Grade_A,12.41,1.691,3.47,PASSED
BATCH_107,Apex Cells,LFP_Grade_A,9.56,1.608,3.59,PASSED
BATCH_108,Apex Cells,LFP_Grade_A,11.76,1.699,3.51,PASSED
BATCH_109,Apex Cells,LFP_Grade_A,9.69,1.786,3.52,PASSED
BATCH_110,Apex Cells,LFP_Grade_A,7.21,1.519,3.43,PASSED
BATCH_111,Apex Cells,LFP_Grade_A,5.13,1.569,3.48,PASSED
BATCH_112,Apex Cells,LFP_Grade_A,7.35,1.406,3.44,PASSED
BATCH_113,Aura Materials,LFP_Grade_A,14.56,1.995,3.19,PASSED
BATCH_114,Apex Cells,LFP_Grade_A,12.41,1.66,3.58,PASSED
BATCH_115,Apex Cells,LFP_Grade_A,11.8,1.58,3.42,PASSED
BATCH_116,Apex Cells,LFP_Grade_A,7.97,1.668,3.53,PASSED
BATCH_117,Aura Materials,LFP_Grade_A,13.96,1.737,3.18,PASSED
BATCH_118,Apex Cells,LFP_Grade_A,8.06,1.789,3.57,PASSED
BATCH_119,Apex Cells,LFP_Grade_A,10.77,1.494,3.45,PASSED
BATCH_120,Apex Cells,LFP_Grade_A,5.32,1.684,3.42,PASSED
BATCH_121,Apex Cells,LFP_Grade_A,8.51,1.481,3.58,PASSED
BATCH_122,Apex Cells,LFP_Grade_A,8.8,1.625,3.54,PASSED
BATCH_123,Apex Cells,LFP_Grade_A,6.11,1.642,3.51,PASSED
BATCH_124,Apex Cells,LFP_Grade_A,6.62,1.777,3.52,PASSED
BATCH_125,Apex Cells,LFP_Grade_A,10.56,1.752,3.52,PASSED
BATCH_126,Apex Cells,LFP_Grade_A,7.37,1.442,3.49,PASSED
BATCH_127,Apex Cells,LFP_Grade_A,6.75,1.567,3.58,PASSED
BATCH_128,Apex Cells,LFP_Grade_A,7.59,1.449,3.47,PASSED
BATCH_129,Apex Cells,LFP_Grade_A,12.25,1.509,3.53,PASSED
BATCH_130,Aura Materials,LFP_Grade_A,11.0,1.776,3.15,PASSED
BATCH_131,Apex Cells,LFP_Grade_A,6.32,1.614,3.5,PASSED
BATCH_132,Apex Cells,LFP_Grade_A,10.54,1.508,3.45,PASSED
BATCH_133,Apex Cells,LFP_Grade_A,6.35,1.488,3.51,PASSED
BATCH_134,Apex Cells,LFP_Grade_A,8.23,1.426,3.45,PASSED
BATCH_135,Apex Cells,LFP_Grade_A,6.98,1.679,3.54,PASSED
BATCH_136,Apex Cells,LFP_Grade_A,6.18,1.799,3.45,PASSED
BATCH_137,Apex Cells,LFP_Grade_A,12.81,1.564,3.41,PASSED
BATCH_138,Apex Cells,LFP_Grade_A,7.76,1.654,3.54,PASSED
BATCH_139,Aura Materials,LFP_Grade_A,13.65,1.824,3.18,PASSED
BATCH_140,Apex Cells,LFP_Grade_A,9.74,1.432,3.47,PASSED
BATCH_141,Apex Cells,LFP_Grade_A,6.94,1.721,3.49,PASSED
BATCH_142,Apex Cells,LFP_Grade_A,12.87,1.56,3.56,PASSED
BATCH_143,Apex Cells,LFP_Grade_A,11.39,1.46,3.5,PASSED
BATCH_144,Apex Cells,LFP_Grade_A,10.57,1.743,3.47,PASSED
BATCH_145,Aura Materials,LFP_Grade_A,12.1,1.956,3.22,PASSED
BATCH_146,Apex Cells,LFP_Grade_A,7.79,1.438,3.59,PASSED
BATCH_147,Apex Cells,LFP_Grade_A,8.18,1.607,3.57,PASSED
BATCH_148,Apex Cells,LFP_Grade_A,10.41,1.694,3.44,PASSED
BATCH_149,Apex Cells,LFP_Grade_A,9.33,1.678,3.45,PASSED
